"B1 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
402.00,0.6
402.50,0.6
403.00,0.6
403.50,0.6
404.00,0.6
404.50,0.6
405.00,0.6
405.50,0.6
406.00,0.6
406.50,0.6
407.00,0.6
407.50,0.6
408.00,0.6
408.50,0.6
409.00,0.6
409.50,0.6
410.00,0.6
410.50,0.6
411.00,0.6
411.50,0.7
412.00,0.7
412.50,0.7
413.00,0.7
413.50,0.7
414.00,0.7
414.50,0.7
415.00,0.7
415.50,0.7
416.00,0.7
416.50,0.7
417.00,0.7
417.50,0.8
418.00,0.8
418.50,0.8
419.00,0.8
419.50,0.8
420.00,0.8
420.50,0.8
421.00,0.8
421.50,0.8
422.00,0.8
422.50,0.8
423.00,0.8
423.50,0.9
424.00,0.9
424.50,0.9
425.00,0.9
425.50,0.9
426.00,0.9
426.50,0.9
427.00,0.9
427.50,0.9
428.00,0.9
428.50,0.9
429.00,0.9
429.50,0.9
430.00,0.9
430.50,0.9
431.00,0.9
431.50,0.9
432.00,0.9
432.50,0.9
433.00,0.9
433.50,0.9
434.00,0.9
434.50,0.9
435.00,0.9
435.50,0.9
436.00,0.9
436.50,0.9
437.00,0.9
437.50,1.0
438.00,1.0
438.50,1.0
439.00,1.0
439.50,1.0
440.00,1.0
440.50,1.0
441.00,1.0
441.50,1.0
442.00,1.0
442.50,1.0
443.00,1.0
443.50,1.0
444.00,1.1
444.50,1.1
445.00,1.1
445.50,1.1
446.00,1.1
446.50,1.1
447.00,1.1
447.50,1.1
448.00,1.1
448.50,1.1
449.00,1.1
449.50,1.1
450.00,1.1
450.50,1.1
451.00,1.1
451.50,1.1
452.00,1.1
452.50,1.1
453.00,1.1
453.50,1.1
454.00,1.1
454.50,1.1
455.00,1.1
455.50,1.1
456.00,1.1
456.50,1.1
457.00,1.1
457.50,1.1
458.00,1.1
458.50,1.1
459.00,1.0
459.50,1.0
460.00,1.0
460.50,1.0
461.00,1.0
461.50,1.0
462.00,1.0
462.50,1.0
463.00,1.0
463.50,1.0
464.00,1.0
464.50,1.0
465.00,1.0
465.50,0.9
466.00,0.9
466.50,0.9
467.00,0.9
467.50,0.9
468.00,0.9
468.50,0.9
469.00,0.9
469.50,0.9
470.00,0.9
470.50,0.9
471.00,0.9
471.50,0.9
472.00,0.9
472.50,0.9
473.00,0.9
473.50,0.9
474.00,0.9
474.50,0.9
475.00,0.9
475.50,0.9
476.00,0.9
476.50,0.9
477.00,0.9
477.50,0.9
478.00,0.9
478.50,0.9
479.00,0.9
479.50,0.9
480.00,0.9
480.50,0.9
481.00,0.9
481.50,0.9
482.00,0.9
482.50,0.9
483.00,0.9
483.50,0.9
484.00,0.9
484.50,0.9
485.00,0.9
485.50,0.9
486.00,0.8
486.50,0.8
487.00,0.8
487.50,0.8
488.00,0.8
488.50,0.8
489.00,0.8
489.50,0.7
490.00,0.7
490.50,0.7
491.00,0.7
491.50,0.7
492.00,0.6
492.50,0.6
493.00,0.6
493.50,0.6
494.00,0.6
494.50,0.6
495.00,0.5
495.50,0.5
496.00,0.5
496.50,0.5
497.00,0.5
497.50,0.4
498.00,0.4
498.50,0.4
499.00,0.4
499.50,0.4
500.00,0.4
500.50,0.4
501.00,0.3
501.50,0.3
502.00,0.3
502.50,0.3
503.00,0.3
503.50,0.3
504.00,0.3
504.50,0.3
505.00,0.2
505.50,0.2
506.00,0.2
506.50,0.2
507.00,0.2
507.50,0.2
508.00,0.2
508.50,0.2
509.00,0.2
509.50,0.2
510.00,0.2
510.50,0.2
511.00,0.1
511.50,0.1
512.00,0.1
512.50,0.1
513.00,0.1
513.50,0.1
514.00,0.1
514.50,0.1
515.00,0.1
515.50,0.1
516.00,0.1
516.50,0.1
517.00,0.1
517.50,0.1
518.00,0.1
518.50,0.1
519.00,0.1
519.50,0.1
520.00,0.1
520.50,0.1
521.00,0.1
521.50,0.1
522.00,0.1
522.50,0.1
523.00,0.1
523.50,0.1
524.00,0.1
524.50,0.1
525.00,0.1
525.50,0.1
526.00,0.1
526.50,0.1
527.00,0.1
527.50,0.1
528.00,0.1
528.50,0.1
529.00,0.1
529.50,0.1
530.00,0.1
530.50,0.1
531.00,0.1
531.50,0.1
532.00,0.1
532.50,0.1
533.00,0.1
533.50,0.1
534.00,0.1
534.50,0.1
535.00,0.1
535.50,0.1
536.00,0.1
536.50,0.1
537.00,0.1
537.50,0.1
538.00,0.1
538.50,0.1
539.00,0.1
539.50,0.1
540.00,0.1
540.50,0.1
541.00,0.1
541.50,0.1
542.00,0.1
542.50,0.1
543.00,0.1
543.50,0.1
544.00,0.1
544.50,0.1
545.00,0.1
545.50,0.1
546.00,0.1
546.50,0.1
547.00,0.1
547.50,0.1
548.00,0.1
548.50,0.1
549.00,0.1
549.50,0.1
550.00,0.1
550.50,0.1
551.00,0.1
551.50,0.1
552.00,0.1
552.50,0.1
553.00,0.1
553.50,0.1
554.00,0.1
554.50,0.1
555.00,0.1
555.50,0.1
556.00,0.1
556.50,0.1
557.00,0.1
557.50,0.1
558.00,0.1
558.50,0.1
559.00,0.1
559.50,0.1
560.00,0.1
560.50,0.1
561.00,0.1
561.50,0.1
562.00,0.1
562.50,0.1
563.00,0.1
563.50,0.1
564.00,0.1
564.50,0.1
565.00,0.1
565.50,0.1
566.00,0.1
566.50,0.0
567.00,0.0
567.50,0.0
568.00,0.0
568.50,0.0
569.00,0.0
569.50,0.0
570.00,0.0
570.50,0.0
571.00,0.0
571.50,0.0
572.00,0.0
572.50,0.0
573.00,0.0
573.50,0.0
574.00,0.0
574.50,0.0
575.00,0.0
575.50,0.0
576.00,0.0
576.50,0.0
577.00,0.0
577.50,0.0
578.00,0.0
578.50,0.0
579.00,0.0
579.50,0.0
580.00,0.0
580.50,0.0
581.00,0.0
581.50,0.0
582.00,0.0
582.50,0.0
583.00,0.0
583.50,0.0
584.00,0.0
584.50,0.0
585.00,0.0
585.50,0.0
586.00,0.0
586.50,0.0
587.00,0.0
587.50,0.0
588.00,0.0
588.50,0.0
589.00,0.0
589.50,0.0
590.00,0.0
590.50,0.0
591.00,0.0
591.50,0.0
592.00,0.0
592.50,0.0
593.00,0.0
593.50,0.0
594.00,0.0
594.50,0.0
595.00,0.0
595.50,0.0
596.00,0.0
596.50,0.0
597.00,0.0
597.50,0.0
598.00,0.0
598.50,0.0
599.00,0.0
599.50,0.0
600.00,0.0
600.50,0.0
601.00,0.0
601.50,0.0
602.00,0.0
602.50,0.0
603.00,0.0
603.50,0.0
604.00,0.0
604.50,0.0
605.00,0.0
605.50,0.0
606.00,0.0
606.50,0.0
607.00,0.0
607.50,0.0
608.00,0.0
608.50,0.0
609.00,0.0
609.50,0.0
610.00,0.0
610.50,0.0
611.00,0.0
611.50,0.0
612.00,0.0
612.50,0.0
613.00,0.0
613.50,0.0
614.00,0.0
614.50,0.0
615.00,0.0
615.50,0.0
616.00,0.0
616.50,0.0
617.00,0.0
617.50,0.0
618.00,0.0
618.50,0.0
619.00,0.0
619.50,0.0
620.00,0.0
620.50,0.0
621.00,0.0
621.50,0.0
622.00,0.0
622.50,0.0
623.00,0.0
623.50,0.0
624.00,0.0
624.50,0.0
625.00,0.0
625.50,0.0
626.00,0.0
626.50,0.0
627.00,0.0
627.50,0.0
628.00,0.0
628.50,0.0
629.00,0.0
629.50,0.0
630.00,0.0
630.50,0.0
631.00,0.0
631.50,0.0
632.00,0.0
632.50,0.0
633.00,0.0
633.50,0.0
634.00,0.0
634.50,0.0
635.00,0.0
635.50,0.0
636.00,0.0
636.50,0.0
637.00,0.0
637.50,0.0
638.00,0.0
638.50,0.0
639.00,0.0
639.50,0.0
640.00,0.0
640.50,0.0
641.00,0.0
641.50,0.0
642.00,0.0
642.50,0.0
643.00,0.0
643.50,0.0
644.00,0.0
644.50,0.0
645.00,0.0
645.50,0.0
646.00,0.0
646.50,0.0
647.00,0.0
647.50,0.0
648.00,0.0
648.50,0.0
649.00,0.0
649.50,0.0
650.00,0.0
650.50,0.0
651.00,0.0
651.50,0.0
652.00,0.0
652.50,0.0
653.00,0.0
653.50,0.0
654.00,0.0
654.50,0.0
655.00,0.0
655.50,0.0
656.00,0.0
656.50,0.0
657.00,0.0
657.50,0.0
658.00,0.0
658.50,0.0
659.00,0.0
659.50,0.0
660.00,0.0
660.50,0.0
661.00,0.0
661.50,0.0
662.00,0.0
662.50,0.0
663.00,0.0
663.50,0.0
664.00,0.0
664.50,0.0
665.00,0.0
665.50,0.0
666.00,0.0
666.50,0.0
667.00,0.0
667.50,0.0
668.00,0.0
668.50,0.0
669.00,0.0
669.50,0.0
670.00,0.0
670.50,0.0
671.00,0.0
671.50,0.0
672.00,0.0
672.50,0.0
673.00,0.0
673.50,0.0
674.00,0.0
674.50,0.0
675.00,0.0
675.50,0.0
676.00,0.0
676.50,0.0
677.00,0.0
677.50,0.0
678.00,0.0
678.50,0.0
679.00,0.0
679.50,0.0
680.00,0.0
680.50,0.0
681.00,0.0
681.50,0.0
682.00,0.0
682.50,0.0
683.00,0.0
683.50,0.0
684.00,0.0
684.50,0.0
685.00,0.0
685.50,0.0
686.00,0.0
686.50,0.0
687.00,0.0
687.50,0.0
688.00,0.0
688.50,0.0
689.00,0.0
689.50,0.0
690.00,0.0
690.50,0.0
691.00,0.0
691.50,0.0
692.00,0.0
692.50,0.0
693.00,0.0
693.50,0.0
694.00,0.0
694.50,0.0
695.00,0.0
695.50,0.0
696.00,0.0
696.50,0.0
697.00,0.0
697.50,0.0
698.00,0.0
698.50,0.0
699.00,0.0
699.50,0.0
700.00,0.0
